epoch,actual_gap,predicted_gap,dim0_lambda_mean,dim0_lambda_var,dim0_mu_mean,dim0_mu_var,dim1_lambda_mean,dim1_lambda_var,dim1_mu_mean,dim1_mu_var,dim2_lambda_mean,dim2_lambda_var,dim2_mu_mean,dim2_mu_var
0,0.00415,0.004149999999999973,1.8956734577814738,0.02622801357782477,0.9478367288907369,0.006557003394456192,0.08275074958801269,0.0010753695710127432,2.149987292289734,0.0038658743001326453,0.048790693283081055,0.0,2.489416718482971,0.0
1,-0.0593166666666666,-0.009604235517217934,25.03832925160726,78.89833407751466,12.51916462580363,19.724583519378665,0.4013938903808594,0.0,27.890460968017578,0.0,0.0,0.0,0.0,0.0
2,-0.0085,-0.009215015304590195,25.990347607930502,48.5300143589487,12.995173803965251,12.132503589737174,1.626749038696289,0.0,25.906691551208496,0.0,0.0,0.0,0.0,0.0
3,-0.0044666666666667,-0.002495369070990338,26.048658752441405,107.77303038796002,13.024329376220702,26.943257596990005,1.1755695343017578,0.0,28.77004909515381,0.0,0.0,0.0,0.0,0.0
4,-0.0073833333333332,-0.001789402478379247,27.50960006713867,29.868224201527095,13.754800033569335,7.467056050381774,0.8901933034261068,0.21385879101904315,30.3515723546346,3.22618497344067,0.0,0.0,0.0,0.0
5,-0.0020499999999999,-0.005149432303079135,23.99862378438314,94.31826969433732,11.99931189219157,23.57956742358433,0.36475563049316406,0.021642470164806582,25.90304183959961,0.03478565646310017,0.0,0.0,0.0,0.0
6,0.0001999999999999,-0.0021871238449382457,24.038997968037922,101.2694743049224,12.019498984018961,25.3173685762306,0.556488037109375,0.034663035126868635,28.490159034729004,0.6350903238571846,0.0,0.0,0.0,0.0
7,-0.0028666666666666,-0.011099287056809893,25.534059397379558,42.78815512338501,12.767029698689779,10.697038780846253,0.7493737538655599,0.00037740431030720676,27.49901294708252,0.7779849710647492,0.0,0.0,0.0,0.0
8,-0.0017333333333333,-0.004734626197836869,22.64139766693115,107.67795665460851,11.320698833465576,26.919489163652127,0.2632465362548828,0.0,27.99677562713623,0.0,0.0,0.0,0.0,0.0
9,-0.0011333333333333,-0.0008156148448298707,23.976360003153484,121.84009585649807,11.988180001576742,30.460023964124517,0.2553138732910156,0.0,25.26556968688965,0.0,0.0,0.0,0.0,0.0
10,-0.0003499999999999,0.0010947092188114695,26.799147033691405,48.03961455484444,13.399573516845702,12.00990363871111,1.2786240577697754,0.908301808872011,28.438127756118774,0.3084388391532116,0.0,0.0,0.0,0.0
11,-0.0004666666666667,-0.00791816511510242,24.640239079793293,82.322171305536,12.320119539896647,20.580542826384,0.11507225036621094,0.01208042021971778,26.292277336120605,0.2092133096894031,0.0,0.0,0.0,0.0
12,-0.0001333333333333,-0.00013333333333327224,26.527950731913247,89.52135235877175,13.263975365956624,22.380338089692938,1.1361360549926758,0.14019545981227566,29.041369915008545,0.3381217936405392,0.19032859802246094,0.0,29.213608741760254,0.0
13,0.0,-0.005334864211535664,24.509341557820637,107.12682200201654,12.254670778910318,26.781705500504135,0.08885383605957031,0.0,27.205037117004395,0.0,0.0,0.0,0.0,0.0
14,0.0013833333333332,0.0011140733785513098,26.616334533691408,47.40259827631826,13.308167266845704,11.850649569079565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0016666666666665,-0.010886824072043128,24.306006050109865,66.82117628478976,12.153003025054932,16.70529407119744,0.23934555053710938,0.0,25.92585563659668,0.0,0.0,0.0,0.0,0.0
16,0.0010999999999999,0.003952290786776575,23.476319630940754,60.238563701390454,11.738159815470377,15.059640925347614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0004666666666666,-0.004514742289865313,26.483696683247885,102.69179355749178,13.241848341623943,25.672948389372944,0.23819541931152344,0.000409998232498765,27.064826011657715,0.31218255014755414,0.0,0.0,0.0,0.0
18,0.0002166666666667,-0.008425509922678195,27.71571667989095,71.9506998924047,13.857858339945475,17.987674973101175,1.174234390258789,0.0,27.836112022399902,0.0,0.0,0.0,0.0,0.0
19,0.0009166666666666,-0.00475919496159276,26.213307825724282,37.035245990454115,13.106653912862141,9.258811497613529,0.6966023445129395,0.3988032968434254,27.29174304008484,1.2949379317953458,0.0,0.0,0.0,0.0
20,0.0001666666666666,0.0006183338073496593,26.906265131632487,94.34911736233163,13.453132565816244,23.587279340582906,2.272014617919922,0.0,26.39430809020996,0.0,0.0,0.0,0.0,0.0
